,id,subtitle,sq_mt_built,n_rooms,n_bathrooms,n_floors,raw_address,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking,latitud,longitude
0,21742,"San Cristóbal, Madrid",64.0,2,1.0,0.0,"Calle de Godella, 64",85000,1328,0,0,1960.0,1,0,0,0,0,0,40.3399674,-3.6874365
1,21741,"Los Ángeles, Madrid",70.0,3,1.0,0.0,Calle de la del Manojo de Rosas,129900,1856,1,0,0.0,1,0,0,1,0,0,40.3593397,-3.6983745
2,21740,"San Andrés, Madrid",94.0,2,2.0,0.0,"Calle del Talco, 68",144247,1535,0,0,0.0,1,0,0,0,0,0,40.3446298,-3.7151909
3,21738,"Los Rosales, Madrid",108.0,2,2.0,0.0,Carretera de Villaverde a Vallecas,260000,2407,0,0,2003.0,1,0,1,0,0,1,40.3577222,-3.6850285
4,21737,"San Andrés, Madrid",126.0,4,2.0,0.0,geologia,195000,1548,0,0,1981.0,1,0,0,1,1,1,40.3433886,-3.7124165
5,21736,"San Andrés, Madrid",120.0,5,2.0,0.0,Avenida Real de Pinto,190000,1583,0,0,0.0,1,0,1,1,1,1,40.348149,-3.7062387
6,21733,"Los Rosales, Madrid",85.0,2,1.0,0.0,Calle de Martinez Oviol,131400,1546,1,0,1950.0,1,0,0,1,0,0,40.3528895,-3.689424
7,21732,"San Andrés, Madrid",69.0,2,2.0,0.0,De la Plata - Villaverde,118000,1710,1,0,1963.0,1,0,0,1,0,0,40.349162,-3.7148492
8,21730,"Los Rosales, Madrid",123.0,3,2.0,0.0,"Calle de la Unanimidad, 67",195000,1585,0,0,1992.0,1,0,0,0,0,0,40.3600565,-3.685326
9,21729,"Los Ángeles, Madrid",109.0,3,2.0,0.0,"Calle de Anoeta, 63",205000,1881,0,0,1983.0,1,0,0,1,0,0,40.35101745,-3.701777508622853
10,21728,"San Cristóbal, Madrid",64.0,3,1.0,0.0,Calle GODELLA,72000,1125,0,0,1960.0,1,0,0,1,0,0,40.3426682,-3.6883619
11,21727,"Los Rosales, Madrid",115.0,3,1.0,0.0,Calle San Macario,160000,1391,0,0,0.0,1,0,0,1,0,0,40.6228461,-3.9081055
