,id,subtitle,sq_mt_built,n_rooms,n_bathrooms,n_floors,raw_address,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking
0,21742,"San Cristóbal, Madrid",64.0,2,1.0,0.0,"Calle de Godella, 64",85000,1328,0,0,1960.0,1,0,0,0,0,0
1,21741,"Los Ángeles, Madrid",70.0,3,1.0,0.0,Calle de la del Manojo de Rosas,129900,1856,1,0,0.0,1,0,0,1,0,0
2,21740,"San Andrés, Madrid",94.0,2,2.0,0.0,"Calle del Talco, 68",144247,1535,0,0,0.0,1,0,0,0,0,0
3,21739,"San Andrés, Madrid",64.0,2,1.0,0.0,Calle Pedro Jiménez,109900,1717,0,0,1955.0,1,0,0,0,0,0
4,21738,"Los Rosales, Madrid",108.0,2,2.0,0.0,Carretera de Villaverde a Vallecas,260000,2407,0,0,2003.0,1,0,1,0,0,1
5,21737,"San Andrés, Madrid",126.0,4,2.0,0.0,geologia,195000,1548,0,0,1981.0,1,0,0,1,1,1
6,21736,"San Andrés, Madrid",120.0,5,2.0,0.0,Avenida Real de Pinto,190000,1583,0,0,0.0,1,0,1,1,1,1
9,21733,"Los Rosales, Madrid",85.0,2,1.0,0.0,Calle de Martinez Oviol,131400,1546,1,0,1950.0,1,0,0,1,0,0
10,21732,"San Andrés, Madrid",69.0,2,2.0,0.0,De la Plata - Villaverde,118000,1710,1,0,1963.0,1,0,0,1,0,0
12,21730,"Los Rosales, Madrid",123.0,3,2.0,0.0,"Calle de la Unanimidad, 67",195000,1585,0,0,1992.0,1,0,0,0,0,0
13,21729,"Los Ángeles, Madrid",109.0,3,2.0,0.0,"Calle de Anoeta, 63",205000,1881,0,0,1983.0,1,0,0,1,0,0
14,21728,"San Cristóbal, Madrid",64.0,3,1.0,0.0,Calle GODELLA,72000,1125,0,0,1960.0,1,0,0,1,0,0
15,21727,"Los Rosales, Madrid",115.0,3,1.0,0.0,Calle San Macario,160000,1391,0,0,0.0,1,0,0,1,0,0
23,21719,"San Andrés, Madrid",51.0,2,1.0,0.0,Camino Leganés,93000,1824,0,0,0.0,0,0,0,0,0,0
24,21718,"San Andrés, Madrid",134.0,3,2.0,0.0,Calle de las Islas,130000,970,0,0,0.0,0,0,0,0,0,0
25,21717,"San Andrés, Madrid",62.0,2,1.0,0.0,Calle de Parvillas Bajas,104000,1677,0,0,0.0,1,0,0,1,0,0
26,21716,"San Andrés, Madrid",75.0,3,1.0,0.0,COBALTO s/n,138000,1840,0,0,1984.0,1,0,0,1,0,1
28,21714,"Los Rosales, Madrid",65.0,3,1.0,0.0,Calle Villajoyosa,150000,2308,1,0,1976.0,1,0,1,0,0,0
29,21713,"San Andrés, Madrid",70.0,2,1.0,0.0,Paseo de Alberto Palacios,145900,2084,0,0,1968.0,1,0,0,1,1,0
30,21712,"San Andrés, Madrid",75.0,1,1.0,0.0,Calle Laguna del Marquesado,92500,1233,0,0,2008.0,1,0,0,0,1,0
31,21711,"Los Rosales, Madrid",123.0,3,2.0,0.0,Carretera de Villaverde a Vallecas,298000,2423,0,0,2002.0,1,0,1,0,0,1
32,21710,"San Andrés, Madrid",61.0,3,1.0,0.0,Camino Leganés,99900,1638,0,0,0.0,1,0,0,1,0,0
34,21708,"Butarque, Madrid",61.0,3,1.0,0.0,"Concepción de la Oliva, 21",100000,1639,0,0,1966.0,1,0,0,0,1,0
35,21707,"San Andrés, Madrid",71.0,3,1.0,0.0,San Neviano - Villaverde,131400,1851,1,0,1980.0,1,0,0,1,0,0
37,21705,"San Andrés, Madrid",60.0,2,1.0,0.0,Paseo de Alberto Palacios,154000,2567,0,0,0.0,1,0,0,1,0,0
38,21704,"Los Ángeles, Madrid",78.0,4,1.0,0.0,Calle la Dolorosa,146700,1881,0,0,0.0,1,0,0,0,0,0
39,21703,"Los Rosales, Madrid",52.0,1,1.0,0.0,Calle Encarnación Oviol,92500,1779,0,0,0.0,0,0,0,0,0,0
40,21702,"Butarque, Madrid",125.0,3,3.0,0.0,Calle ESTEFANITA,275000,2200,0,0,2004.0,1,0,1,1,0,0
41,21701,"San Andrés, Madrid",75.0,0,1.0,0.0,Calle Laguna del Marquesado,83800,1117,0,0,2008.0,1,0,0,1,1,0
42,21700,"Butarque, Madrid",97.0,2,2.0,0.0,"Calle Arroyo de la Bulera, 31",266122,2744,0,1,0.0,1,0,1,1,0,0
43,21699,"Butarque, Madrid",93.0,2,2.0,0.0,"Calle Arroyo de la Bulera, 31",228273,2455,0,1,0.0,1,0,1,1,0,0
44,21698,"Los Ángeles, Madrid",103.0,4,2.0,0.0,Calle de la del Manojo de Rosas,171900,1669,0,0,0.0,1,0,0,0,0,0
45,21697,"Butarque, Madrid",83.0,2,2.0,0.0,Villaverde a perales,228273,2750,0,0,2020.0,1,0,1,1,0,1
